title,artist
He Is They Are,"Harry Connick, Jr."
The Way You Look Tonight,Tony Bennett
Moon River,Andy Williams
Can't Help Falling in Love,Elvis Presley
Something Stupid (feat. Reese Witherspoon),Michael Bubl?
One for My Baby (And One More for the Road),Tony Bennett
All of Me (with Eddie Heywood & His Orchestra),Billie Holiday
Beyond the Sea,Bobby Darin
Chances Are - Single Version,Johnny Mathis
I Love You - 1962 Version,Frank Sinatra
My One And Only Love,John Coltrane
I've Got You Under My Skin - Studio Rio Version,Mel Torm?
It Had to Be You,Ray Charles
Make Someone Happy,Jimmy Durante
Ain't She Sweet,Frank Sinatra
Memories Are Made Of This,Dean Martin
The Glory Of Love,Jimmy Durante
She Was Too Good to Me,Chet Baker
When Sunny Gets Blue - Single Version,Johnny Mathis
Put On A Happy Face - 2011 Remaster,Tony Bennett
As Long As She Needs Me,Frankie Randall
You Are My Lucky Star - 1990 Remaster,Sammy Davis Jr.
Ac-Cent-Tchu-Ate The Positive - Single Version,Bing Crosby
My Kind Of Girl,Buddy Greco
Try A Little Tenderness,Jimmy Durante
Swinging On A Star,Bing Crosby
This Could Be the Start of Something,Buddy Greco
Dance Me to the End of Love,Leonard Cohen
Speak Softly Love - Love Theme from The Godfather,Andy Williams
I've Got Your Number,Jack Jones
"A Wonderful Day Like Today - From the David Merrick-Bernard Delfont Production, The Roar of the Greasepaint - The Smell of the Crowd",Frankie Randall
Spanish Eyes,Al Martino
Spanish Eyes,Al Martino
Wives And Lovers,Jack Jones
Wives And Lovers,Jack Jones
It's a Wonderful Life,S E S H
at arm's length...,mom?
Cozy,Peter Kuli
idontmind,Luv.Ly
I Loved You but I Will Never Know,Imfinenow
runaway,potsu
Balcony Rain,steezy prime
Hey Thursday,Knapsack
in your arms,Saib
Underwater.,Gnavis
Honeydoo,Roger Wilco
Sky Pretty,Masked Man
Monkey Bars,Meltycanon
green eyed lady,B0nds
moment's notice,potsu
Flowers,Jack Dean
Renee / Good2Me,TV Blonde
bouquet of balloons,biosphere
Shimmer,Lucid Green
It's Raining,Masked Man
Waiting for You,Verzache
Drive In's,Cozy Collective
Kame House,Grumpysnorlax
magic dust,J0eru
Intro Screen,Masked Man
Hawaiian Haze,goosetaf
thoughts of you,vbnd
bittersweet (feat. lando!),Dream Easy Collective
I Like Cute Girls,cute girls doing cute things
okinawa bbq,mommy
hypnotic,goosetaf
French,Verzache
This Is What Happens,Peachy!
"and then, i found you",fcj
"Schools out, Lets Go Get Some Ice Cream",Through & Through
Sunflower,Zach Farache
Surf,Grumpysnorlax
The Sea,Joey Pecoraro
Soft Serve,Rook1e
Slide,J0eru
Earthlite,Sleepdealer
l o v e,pluko
Ocarina,TV Blonde
hide and seek,santpoort
its time,twuan
Lunchtime,Lunchmoney
When You Said Hi,NVTHVN
pilvemurrang,Jasperino
Leaving Earth 2,Medasin
the great ocean road,santpoort
Between U And Me,Neon Feather
